annotation_id,conversation_id,message_id,intent,service,extracted_fields,confidence
ann_00230,conv_0230,msg_01131,cancel_or_reschedule,Window tinting,"{""service"":""Window tinting"",""car"":""Tesla Model 3""}",0.88
ann_00231,conv_0231,msg_01135,cancel_or_reschedule,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Skoda Octavia""}",0.91
ann_00232,conv_0232,msg_01140,cancel_or_reschedule,Full PPF wrap,"{""service"":""Full PPF wrap"",""car"":""Volkswagen Tiguan""}",0.88
ann_00233,conv_0233,msg_01144,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""Porsche Macan""}",0.96
ann_00234,conv_0234,msg_01150,cancel_or_reschedule,Chrome delete,"{""service"":""Chrome delete"",""car"":""Lexus RX""}",0.91
ann_00235,conv_0235,msg_01154,cancel_or_reschedule,Ceramic coating,"{""service"":""Ceramic coating"",""car"":""Audi A6""}",0.88
ann_00236,conv_0236,msg_01160,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""Range Rover Sport""}",0.88
ann_00237,conv_0237,msg_01166,cancel_or_reschedule,Detailing wash,"{""service"":""Detailing wash"",""car"":""Audi A6""}",0.89
ann_00238,conv_0238,msg_01172,cancel_or_reschedule,PPF elements,"{""service"":""PPF elements"",""car"":""Porsche Macan""}",0.83
ann_00239,conv_0239,msg_01178,cancel_or_reschedule,Paint correction,"{""service"":""Paint correction"",""car"":""Skoda Octavia""}",0.97
ann_00240,conv_0240,msg_01184,cancel_or_reschedule,PPF elements,"{""service"":""PPF elements"",""car"":""Lexus RX""}",0.96
